"www.agrometeorologia.cl","",""
"Red Agrometeorológica de INIA","",""
"Generado el 01-08-2025 16:02:21","",""
"Quinta Normal, Quinta Normal","",""
"","",""
"Tiempo UTC-4","Precipitación Acumulada mm","Precipitación Acumulada % de datos "
"Ene-2018","0","100"
"Feb-2018","0","100"
"Mar-2018","1.7","100"
"Abr-2018","0","100"
"May-2018","13.1","100"
"Jun-2018","47.2","100"
"Jul-2018","46","100"
"Ago-2018","11","100"
"Sep-2018","27.5","100"
"Oct-2018","1.8","100"
"Nov-2018","0.4","100"
"Dic-2018","1.1","100"
"Ene-2019","0","100"
"Feb-2019","0","100"
"Mar-2019","1.4","100"
"Abr-2019","0.2","100"
"May-2019","5.8","100"
"Jun-2019","46.5","100"
"Jul-2019","13.9","100"
"Ago-2019","0","100"
"Sep-2019","10.9","100"
"Oct-2019","4.8","100"
"Nov-2019","0","100"
"Dic-2019","0","100"
"Ene-2020","0.4","100"
"Feb-2020","0","100"
"Mar-2020","0","100"
"Abr-2020","2.5","100"
"May-2020","3.8","100"
"Jun-2020","107.5","100"
"Jul-2020","68.4","100"
"Ago-2020","7","100"
"Sep-2020","0.1","100"
"Oct-2020","0","100"
"Nov-2020","0","100"
"Dic-2020","0","100"
"Ene-2021","40.2","100"
"Feb-2021","0","100"
"Mar-2021","0","100"
"Abr-2021","0","100"
"May-2021","15.3","100"
"Jun-2021","22.6","100"
"Jul-2021","0.9","100"
"Ago-2021","18.7","100"
"Sep-2021","11.1","100"
"Oct-2021","6.2","100"
"Nov-2021","0","100"
"Dic-2021","0","100"
"Ene-2022","0","100"
"Feb-2022","0.1","100"
"Mar-2022","0.3","100"
"Abr-2022","29.2","100"
"May-2022","0.4","100"
"Jun-2022","23.1","100"
"Jul-2022","73.9","100"
"Ago-2022","23.4","100"
"Sep-2022","8.3","100"
"Oct-2022","0","95"
"Nov-2022","5","100"
"Dic-2022","0.1","100"
"Ene-2023","0.9","100"
"Feb-2023","0","100"
"Mar-2023","0","99"
"Abr-2023","8.6","100"
"May-2023","5.5","100"
"Jun-2023","52.5","100"
"Jul-2023","45.9","100"
"Ago-2023","90.2","100"
"Sep-2023","78.4","100"
"Oct-2023","4.5","100"
"Nov-2023","28.4","100"
"Dic-2023","0","100"
"Ene-2024","0","100"
"Feb-2024","2.8","100"
"Mar-2024","0.1","100"
"Abr-2024","0.2","100"
"May-2024","121.5","100"
"Jun-2024","183.4","100"
"Jul-2024","0.3","100"
"Ago-2024","80.5","100"
"Sep-2024","5.4","100"
"Oct-2024","10","100"
"Nov-2024","0.2","100"
"Dic-2024","0","100"
"Ene-2025","0","100"
"Feb-2025","0","100"
"Mar-2025","5.5","100"
"Abr-2025","0.6","100"
"May-2025","62.5","100"
"Jun-2025","71.6","100"
"Jul-2025","18","100"
"","",""
"","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","",""
