"www.agrometeorologia.cl","",""
"Red Agrometeorológica de INIA","",""
"Generado el 01-08-2025 15:59:52","",""
"Quinta Normal, Quinta Normal","",""
"","",""
"Tiempo UTC-4","Temperatura del Aire Máxima ºC","Temperatura del Aire Máxima % de datos "
"Ene-2018","29.3","100"
"Feb-2018","29.7","100"
"Mar-2018","28.2","100"
"Abr-2018","24.2","100"
"May-2018","20.2","100"
"Jun-2018","16.1","100"
"Jul-2018","15.4","100"
"Ago-2018","18.4","100"
"Sep-2018","20.1","100"
"Oct-2018","22.5","100"
"Nov-2018","27.7","100"
"Dic-2018","28.6","100"
"Ene-2019","30.3","100"
"Feb-2019","30.5","100"
"Mar-2019","27.8","100"
"Abr-2019","23.1","100"
"May-2019","19","100"
"Jun-2019","15.3","100"
"Jul-2019","16.3","100"
"Ago-2019","19.8","100"
"Sep-2019","20.6","100"
"Oct-2019","23.2","100"
"Nov-2019","29","100"
"Dic-2019","30.8","100"
"Ene-2020","30.8","100"
"Feb-2020","30.7","100"
"Mar-2020","28.8","100"
"Abr-2020","25.2","100"
"May-2020","21.6","100"
"Jun-2020","14.2","100"
"Jul-2020","15.5","100"
"Ago-2020","17.7","100"
"Sep-2020","21.5","100"
"Oct-2020","24.8","100"
"Nov-2020","26.8","100"
"Dic-2020","29.6","100"
"Ene-2021","29.3","100"
"Feb-2021","27.3","100"
"Mar-2021","26.4","100"
"Abr-2021","23.6","100"
"May-2021","20","100"
"Jun-2021","17.6","100"
"Jul-2021","18.7","100"
"Ago-2021","17.5","100"
"Sep-2021","20.6","100"
"Oct-2021","24.6","100"
"Nov-2021","27.2","100"
"Dic-2021","29.1","100"
"Ene-2022","29.2","100"
"Feb-2022","29.3","100"
"Mar-2022","27.9","100"
"Abr-2022","23.6","100"
"May-2022","19.4","100"
"Jun-2022","15.7","100"
"Jul-2022","14.4","100"
"Ago-2022","17.5","100"
"Sep-2022","19.2","100"
"Oct-2022","24.1","95"
"Nov-2022","27.5","100"
"Dic-2022","30.5","100"
"Ene-2023","30.2","100"
"Feb-2023","32","100"
"Mar-2023","30.2","99"
"Abr-2023","24.5","100"
"May-2023","20.3","100"
"Jun-2023","17.5","100"
"Jul-2023","16.9","100"
"Ago-2023","18.4","100"
"Sep-2023","17.8","100"
"Oct-2023","21.4","100"
"Nov-2023","23.7","100"
"Dic-2023","28.3","100"
"Ene-2024","31.2","100"
"Feb-2024","31.1","100"
"Mar-2024","29.5","100"
"Abr-2024","22.9","100"
"May-2024","15.4","100"
"Jun-2024","14.7","100"
"Jul-2024","16.9","100"
"Ago-2024","15.9","100"
"Sep-2024","21","100"
"Oct-2024","24.6","100"
"Nov-2024","26.7","100"
"Dic-2024","29.3","100"
"Ene-2025","31.4","100"
"Feb-2025","31.4","100"
"Mar-2025","27.5","100"
"Abr-2025","23.3","100"
"May-2025","20","100"
"Jun-2025","15.9","100"
"Jul-2025","17.8","100"
"","",""
"","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","",""
