"www.agrometeorologia.cl","",""
"Red Agrometeorológica de INIA","",""
"Generado el 01-08-2025 15:59:24","",""
"Quinta Normal, Quinta Normal","",""
"","",""
"Tiempo UTC-4","Temperatura del Aire Mínima ºC","Temperatura del Aire Mínima % de datos "
"Ene-2018","13.7","100"
"Feb-2018","13.5","100"
"Mar-2018","10.7","100"
"Abr-2018","9","100"
"May-2018","6.4","100"
"Jun-2018","2.8","100"
"Jul-2018","3.5","100"
"Ago-2018","3.9","100"
"Sep-2018","7.3","100"
"Oct-2018","8.5","100"
"Nov-2018","11.1","100"
"Dic-2018","12.1","100"
"Ene-2019","13.4","100"
"Feb-2019","14.1","100"
"Mar-2019","10.8","100"
"Abr-2019","8.7","100"
"May-2019","5.8","100"
"Jun-2019","3.4","100"
"Jul-2019","3.2","100"
"Ago-2019","4.8","100"
"Sep-2019","6","100"
"Oct-2019","8.2","100"
"Nov-2019","11.1","100"
"Dic-2019","13.1","100"
"Ene-2020","14.3","100"
"Feb-2020","12.9","100"
"Mar-2020","12.2","100"
"Abr-2020","9.5","100"
"May-2020","6.3","100"
"Jun-2020","3.8","100"
"Jul-2020","4.1","100"
"Ago-2020","3.4","100"
"Sep-2020","6.2","100"
"Oct-2020","7.6","100"
"Nov-2020","9.7","100"
"Dic-2020","11.8","100"
"Ene-2021","13.3","100"
"Feb-2021","12.7","100"
"Mar-2021","11.6","100"
"Abr-2021","8.5","100"
"May-2021","5.7","100"
"Jun-2021","4.8","100"
"Jul-2021","1.3","100"
"Ago-2021","4.8","100"
"Sep-2021","5.5","100"
"Oct-2021","8.1","100"
"Nov-2021","10.2","100"
"Dic-2021","12.3","100"
"Ene-2022","12.8","100"
"Feb-2022","12.5","100"
"Mar-2022","10.7","100"
"Abr-2022","7.9","100"
"May-2022","5.8","100"
"Jun-2022","3.6","100"
"Jul-2022","2.6","100"
"Ago-2022","4.5","100"
"Sep-2022","5.8","100"
"Oct-2022","8.9","95"
"Nov-2022","11.3","100"
"Dic-2022","13.6","100"
"Ene-2023","13.8","100"
"Feb-2023","14.2","100"
"Mar-2023","13.1","99"
"Abr-2023","9.6","100"
"May-2023","6.5","100"
"Jun-2023","5.9","100"
"Jul-2023","5.2","100"
"Ago-2023","6.6","100"
"Sep-2023","8.1","100"
"Oct-2023","8.1","100"
"Nov-2023","9.3","100"
"Dic-2023","11.7","100"
"Ene-2024","14.2","100"
"Feb-2024","14.9","100"
"Mar-2024","12.2","100"
"Abr-2024","9.6","100"
"May-2024","3.5","100"
"Jun-2024","5.9","100"
"Jul-2024","2.2","100"
"Ago-2024","4.3","100"
"Sep-2024","6.4","100"
"Oct-2024","9.6","100"
"Nov-2024","10.3","100"
"Dic-2024","11.8","100"
"Ene-2025","14.4","100"
"Feb-2025","13.8","100"
"Mar-2025","11.7","100"
"Abr-2025","8.6","100"
"May-2025","7.2","100"
"Jun-2025","3.4","100"
"Jul-2025","4.8","100"
"","",""
"","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","",""
